City,Year,Dem votes,Rep votes,3rd-party,Total turnout,Population,Arab pop,% Arab of pop,Some college+,% ≥ Some-college,% Foreign-born-citizens,VAP (log ),,
Dearborn,2020,30 719,13 239,605,44 563,93927,40725,0.4336," 41,183 ",0.438,0.392,0.748,,
Dearborn Hts,2020,16 623,9 749,346,26 718,55630,15069,0.2709," 23,159 ",0.416,0.368,0.756,,
Hamtramck,2020,6 628,1 042,75,7745,21704,5366,0.2472," 5,449 ",0.251,0.461,0.659,,
Dane County,2020,260 185,78 800,5 801,344786,546695,1464,0.0027," 336,245 ",0.615,0.039,0.801,,
Dearborn,2024,15 208,17 802,8 359,41 369,105818,"48,520",0.4585," 48,014 ",0.454,0.392,0.748,,
Dearborn Hts,2024,9 652,11 083,4 159,24 894,62099,"20,795",0.3349," 26,760 ",0.431,0.368,0.756,,
Hamtramck,2024,3 271,3 017,741,7 029,27830,"8,479",0.3047," 7,004 ",0.252,0.461,0.659,,
Dane County,2024,273 995,85 454,6 477,365 926,564777," 2,458 ",0.0044," 354,772 ",0.628,0.039,0.801,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,